provenance_id,evidence_class,title,organisation_or_authors,publication_date,url,geography,process_boundary,reported_value,reported_unit,permitted_model_use,claim_ceiling
LOCAL_VIDEO_RTL_RATE,MEASURED_LOCAL,Human-adjudicated right-to-left crossing aggregate,Assessment video audit,2026-07-27,,Supplied entrance-area video,Directional crossing at x=640 in upper-corridor ROI,34 crossings in 24.922788889 seconds,travellers/second,Local-window HPP rate anchor only,Describes the accepted short window only
ASSUMP_LOCAL_WINDOW_HPP,TRANSPARENT_ASSUMPTION,Stationary-independent local-window HPP,Project design decision,2026-07-27,,Supplied entrance-area video,Arrival-family mapping,1.364213,travellers/second,Generate a hypothetical stationary arrival stream at the audited short-window rate,Not a long-run or time-of-day demand model
EXT_SECURITY_GAO_ACRP_165PPH,EXTERNAL_EMPIRICAL_BENCHMARK,Airport security lane throughput context,GAO and Airport Cooperative Research Program,2006/2012,https://www.gao.gov/assets/a257263.html,United States airports,Whole security screening lane,165 to 200,passengers/hour/lane,Use a named bound or reciprocal headway sensitivity only,Not an individual Singapore Security service distribution
SG_MHA_BUS_PASSPORT_13S,OFFICIAL_SG_SCENARIO,Average bus-hall clearance using a passport,Ministry of Home Affairs Singapore,2025-11-06,https://www.mha.gov.sg/media-room/newsroom/average-duration-to-process-travellers-at-bus-halls-of-land-checkpoints-using-qr-code-or-passport/,Singapore land-checkpoint bus halls,Reported average clearance process,13,seconds/traveller,Named deterministic context scenario,Not the supplied corridor's measured service distribution
SG_MHA_BUS_QR_10S,OFFICIAL_SG_SCENARIO,Average bus-hall clearance using QR,Ministry of Home Affairs Singapore,2025-11-06,https://www.mha.gov.sg/media-room/newsroom/average-duration-to-process-travellers-at-bus-halls-of-land-checkpoints-using-qr-code-or-passport/,Singapore land-checkpoint bus halls,Reported average clearance process,10,seconds/traveller,Named deterministic context scenario,Not the supplied corridor's measured service distribution
SG_ICA_TRAIN_KIOSK_24S,OFFICIAL_SG_SCENARIO,Woodlands Train self-clearance kiosk transaction,Immigration and Checkpoints Authority,2023-06-14,https://www.ica.gov.sg/news-and-publications/newsroom/media-release/new-immigration-kiosks-at-woodlands-train-checkpoint-increases-automated-clearance-capacity-and-provides-faster-clearance,Singapore Woodlands Train Checkpoint,Reported average kiosk transaction,24,seconds/traveller,Named cross-checkpoint context scenario,Not portable as a local site distribution
SG_ICA_TRAIN_MANUAL_45S,OFFICIAL_SG_SCENARIO,Woodlands Train manual-counter transaction,Immigration and Checkpoints Authority,2023-06-14,https://www.ica.gov.sg/news-and-publications/newsroom/media-release/new-immigration-kiosks-at-woodlands-train-checkpoint-increases-automated-clearance-capacity-and-provides-faster-clearance,Singapore Woodlands Train Checkpoint,Reported average manual-counter transaction,45,seconds/traveller,Named manual-proxy context scenario,Not portable as a local site distribution
SG_HTX_CLEARANCE_M60,OFFICIAL_SG_SCENARIO,Passport-less selected-lane trial clearance-time reduction,HTX Singapore,2024-08-13,https://www.htx.gov.sg/whats-happening/all-news---events/all-news/2024/featured-news--sailing-through-immigration-clearance-without-passports,Singapore Changi Airport selected lanes,Reported overall clearance-time reduction,0.6,remaining-time multiplier,Illustrative mapping to automated traveller service demand,Not a causal or local service multiplier
SG_ICA_CLEARANCE_M40,OFFICIAL_SG_SCENARIO,Full Changi passport-less rollout clearance-time reduction,Immigration and Checkpoints Authority,2024-10-24,https://www.ica.gov.sg/news-and-publications/newsroom/media-release/passport-less-clearance-fully-rolled-out-at-changi-airport,Singapore Changi Airport,Reported average clearance change from 25 to 10 seconds,0.4,remaining-time multiplier,Illustrative mapping to automated traveller service demand,Not a local bus-hall service multiplier
EXT_CBP_SECONDARY_BOUNDARY,EXTERNAL_EMPIRICAL_BENCHMARK,Preclearance primary-to-secondary planning guidance,United States Customs and Border Protection,2014-09,https://www.cbp.gov/sites/default/files/documents/Final%20Preclearance%20Guidance_092014.pdf,United States preclearance at foreign airports,Primary referral and secondary examination,less than 2 percent; 15 to 120 minutes,probability and minutes,External low/high risk-load boundary sensitivity,Not an ICA referral rate duration or staffing model
STRUCT_DORTON_SECONDARY,STRUCTURAL_LITERATURE,Checkpoint DES with alarms and secondary inspection,Dorton and Liu,2016,https://doi.org/10.1002/hfm.20616,Airport security case study,Finite-resource queue network with secondary process,mechanism,not applicable,Support explicit exception workload and sensitivity testing,Does not identify Singapore numerical parameters
STRUCT_TERMINATING_REPLICATIONS,STRUCTURAL_LITERATURE,Statistical analysis of terminating simulation output,Law,2020,https://informs-sim.org/wsc20papers/134.pdf,General simulation methodology,Independent terminating replications,method,not applicable,Support cutoff snapshot full drain and replication-level confidence intervals,Does not calibrate operational inputs
STRUCT_QUEUE_POLICY,STRUCTURAL_LITERATURE,Pooling and dedicated-queue effects,Mandelbaum and Reiman; Cao et al.,1998/2020,https://doi.org/10.1287/mnsc.44.7.971,General queueing networks,Separate versus pooled finite-resource queues,mechanism,not applicable,Support a controlled mechanism comparison,Does not predict which policy wins locally
ASSUMP_FIXED_CONTEXT_MEAN,TRANSPARENT_ASSUMPTION,Fixed-service interpretation of published means,Project design decision,2026-07-27,,Comparative sandbox,Service-time variability,coefficient of variation 0,proportion,Reference cell for the executed mean-preserving service-variability sensitivity,A published mean does not identify a distribution
