parameter,value,lower,upper,unit,source_class,source,model_use,status,notes
video_sha256,4e2adef6a7c11ff4bac604a034229a08dfd53747360862cc53d0098f53bc7a2c,,,hex digest,MEASURED_METADATA,Local SHA-256 audit,Input identity,VERIFIED,Source pixels are not redistributed
video_frame_rate,30.012692534,,,frames/second,MEASURED_METADATA,OpenCV decode audit,Metadata only,VERIFIED,Event clock uses decoded PTS rather than frame/fps
video_duration,24.922788889,,,seconds,MEASURED_METADATA,OpenCV decode audit,Rate denominator,VERIFIED,Presentation duration
video_decoded_frames,748,,,frames,MEASURED_METADATA,OpenCV decode audit,Audit completeness,VERIFIED,All decoded frames
video_width,1280,,,pixels,MEASURED_METADATA,OpenCV decode audit,CV geometry,VERIFIED,
video_height,720,,,pixels,MEASURED_METADATA,OpenCV decode audit,CV geometry,VERIFIED,
analysis_roi_y_max,310,,,pixels,MEASURED_VIDEO,Visual reflection audit,CV geometry,WORKING,Pixels at y>=310 excluded to avoid glass reflections
count_line_x,640,620,660,pixels,MEASURED_VIDEO,Counting-rule sensitivity,CV geometry,WORKING,Central reference line with plus or minus 20 px sensitivity
crossing_count_left_to_right,12,12,12,events,MEASURED_VIDEO,Human-adjudicated aggregate,Directional crossing evidence,VERIFIED,Accepted aggregate over 24.922788889 seconds; no signed event-time ledger
crossing_count_right_to_left,34,34,34,events,MEASURED_VIDEO,Human-adjudicated aggregate,Directional crossing evidence,VERIFIED,Accepted aggregate over 24.922788889 seconds; no signed event-time ledger
crossing_count_total,46,46,46,events,MEASURED_VIDEO,Human-adjudicated aggregate,Bidirectional crossing evidence,VERIFIED,Accepted aggregate over 24.922788889 seconds; not a long-run demand estimate
arrival_direction,right_to_left,,,image direction,MEASURED_VIDEO,Assessment entrance mapping,Arrival process,VERIFIED,Operational arrival stream is mapped to image-space right_to_left
arrival_rate,1.364213,1.364213,1.364213,travellers/second,MEASURED_VIDEO,34 accepted right_to_left crossings divided by 24.922788889 seconds,Arrival process,VERIFIED,Short-window aggregate input; no signed event-time ledger and not a long-run demand estimate
security_capacity,,,,servers,TRANSPARENT_ASSUMPTION,Task 2 assumption,Decision factor,TBD,No service-resource calibration data supplied
immigration_capacity,,,,servers,TRANSPARENT_ASSUMPTION,Task 2 assumption,Decision factor,TBD,No service-resource calibration data supplied
security_service_time,,,,seconds,TRANSPARENT_ASSUMPTION,Sensitivity range,Service process,TBD,Must remain positive
immigration_service_time,,,,seconds,TRANSPARENT_ASSUMPTION,Sensitivity range,Service process,TBD,Must remain positive
automation_uptake,0.5,0,1,proportion,TRANSPARENT_ASSUMPTION,Scenario factor,Technology mixture,PLANNED,Effective uptake not pure adoption
automation_multiplier,0.6,0.4,0.6,multiplier,EXTERNAL_SCENARIO_ANCHOR,HTX and ICA reports,Technology mixture,PLANNED,Cross-context mapping assumption
demand_multiplier,1.0,1.0,1.2,multiplier,ILLUSTRATIVE_SCENARIO,System-level aggregate informed,Arrival stress,PLANNED,Not a calibrated local peak multiplier
